en,fr,predicted
in process citation,vouloir c'est pouvoir,dans la citation de procédure
in process citation,die pflege positionieren und weiterentwickeln,dans la citation de procédure
in process citation,wegweisende entscheidung für den sbk,dans la citation de procédure
a chronic cough of unusual cause,une cause rare de toux chronique,une toux chronique de cause inhabituelle
salivary gland-type lung tumor: an update,tumeurs de type glandes salivaires du poumon,tumeur pulmonaire de type glande salivaire: une mise à jour
synovial sarcoma in children and adolescents,les synovialosarcomes de l'enfant et l'adolescent,sarcome synovial chez les enfants et les adolescents
central manifestations of dystrophinopathies,manifestations centrales des dystrophinopathies,manifestations centrales de dystrophinopathie
cardiac involvement in dystrophinopathies,aspects cardiologiques des dystrophinopathies,implication cardiaque dans les dystrophinopathie
genetic counseling in dystrophinopathies,conseil génétique dans les dystrophinopathies,Conseils génétiques dans les dystrophinopathes
the collodion baby,le bébé collodion,le bébé collodion
history of keloid,histoire de la chéloïde,histoire du chéloïde
meta-synthesis,la méta-synthèse,méta-synthèse
in process citation,les pansements du futur,dans la citation de procédure
improper use of dressings,mésusages des pansements,utilisation inappropriée des pansements
secondary dressings,les pansements secondaires,les pansements secondaires
the prescribing of dressings,la prescription des pansements,la prescription de pansements
negative pressure wound therapy dressings,les pansements de traitement par pression négative,pansements de thérapie de plaies à pression négative
dressings for malodorous wounds,les pansements des plaies malodorantes,les pansements pour les plaies malodorantes
dressings for superficial wounds,les pansements des plaies superficielles,pansements pour les plaies superficielles
neutral and impregnated dressings and products,les pansements et produits neutres et imprégnés,Densements et produits neutres et impregnés
debridement dressings,les pansements de la détersion,les pansements de débridement
in process citation,"le choix du pansement, une démarche soignante",dans la citation de procédure
in process citation,vingt ans de progrès dans le soin des plaies,dans la citation de procédure
in process citation,pensionskassen zwischen realer und idealer welt,dans la citation de procédure
in process citation,feuerwerksknallerei und tierwohl,dans la citation de procédure
in process citation,modulbuch für veterinäre,dans la citation de procédure
in process citation,kleinwiederkäuertagung 2015,dans la citation de procédure
in process citation,"abwerbeverbot--was ist zulässig, was nicht?",dans la citation de procédure
in process citation,10 jahre netzwerktagung pferdeforschung schweiz,dans la citation de procédure
medical treatment of endometriosis,traitement medical de l'endométriose,traitement médical de l'endométriose
a small piece of switzerland,ein kleines stück schweiz,un petit morceau de Suisse
in process citation,konflikte am arbeitsplatz,dans la citation de procédure
in process citation,tag der offenen tür an der vetsuisse-fakultät bern,dans la citation de procédure
in process citation,wertvolle impulse für den beruflichen alltag,dans la citation de procédure
in process citation,die bündner tierärzte an der higa,dans la citation de procédure
in process citation,gst-mitgliederumfrage,dans la citation de procédure
in process citation,habe ich einen job oder habe ich einen beruf?,dans la citation de procédure
in process citation,als tierärztin unterwegs in der somali region,dans la citation de procédure
in process citation,gemeinsame stossrichtung zum berufseinstieg,dans la citation de procédure
in process citation,feiertage - ferientage,dans la citation de procédure
in process citation,mit altem wissen in die zukunft,dans la citation de procédure
in process citation,formen von bereitschaftsdienst,dans la citation de procédure
in process citation,ferienkürzung bei krankheit,dans la citation de procédure
in process citation,zusammen sind wir stark!,dans la citation de procédure
in process citation,ich musste ein bisschen in die anästhesie,dans la citation de procédure
in process citation,neuweltkamelidentagung 2014,dans la citation de procédure
in process citation,arbeitskleidung - kostentragung und reinigung,dans la citation de procédure
in process citation,aufbruchstimmung,dans la citation de procédure
evin law: moderation in the addiction's age,loi evin : modération au temps des addictions,Le droit de l'enfant: modération à l'âge de la dépendance
history of acute promyelocytic leukemia,histoire(s) de la leucémie aiguë promyélocytaire,l' histoire de la leucémie promyélocytique aiguë
future therapies for cystic fibrosis,perspectives thérapeutiques dans la mucoviscidose,les thérapies futures pour la fibrose kystique
cystic fibrosis,mucoviscidose,fibrose kystique
thromboangiitis obliterans (buerger's disease),maladie de buerger,thromboangiite obliterans (maladie de Buerger)
infections in the transplant patient,infections chez le patient greffé,infections chez le patient transplanté
what's new in neurology,la neurologie comme discipline thérapeutique,Qu'est-ce qui est nouveau en neurologie ?
living with hiv,vivre avec...le vih,vivre avec le VIH
kasabach-merritt syndrome,syndrome de kasabach-merritt,syndrome de kasabach-merritt
glp-1 receptor agonists: current state,analogues du glp-1: où en est-on?,agonistes du récepteur glp-1: état courant
treatment of type 2 diabetes,traitement du diabete de type 2,traitement du diabète de type 2
"immigration, a phenomenon with no name","l'immigration, un phénomène qui n'a pas de nom","l'immigration, un phénomène sans nom"
drugs and alcohol: a bad mix,médicaments et alcool: un mauvais ménage,Drogues et alcool: un mauvais mélange
"french health: senators, one effort more!","sante des français: sénateurs, encore un effort!","Les sénateurs, un effort de plus !"
temporal meaning of suffering,le sens temporel de la souffrance,Le sens temporel de la souffrance
time perceptions and representations,représentations et perceptions du temps,perceptions et représentations du temps
in process citation,des droits des patients de plus en plus prégnants,dans la citation de procédure
management of patients with stomas,prise en charge des patients stomisés,gestion des patients atteints de stomes
"intestinal obstruction, an overview","l'occlusion intestinale, état des lieux","Obstruction intestinale, un aperçu"
in process citation,"l'occlusion intestinale, une urgence thérapeutique",dans la citation de procédure
in process citation,renforcer l'accès aux soins des plus démunis,dans la citation de procédure
in process citation,dignitas submergée par les demandes allemandes,dans la citation de procédure
in process citation,libido noscendi,dans la citation de procédure
chronic fatigue syndrome,syndrome de fatigue chronique,syndrome de fatigue chronique
in process citation,médecins-conseils: l'arme fatale des assureurs,dans la citation de procédure
in process citation,réponse,dans la citation de procédure
in process citation,des femmes et de la santé,dans la citation de procédure
in process citation,connaissance de la souffrance,dans la citation de procédure
management of massive haemoptysis,prise en charge de l'hémoptysie massive,gestion de l'hémoptysie massive
the asthma-copd overlap syndrome,le syndrome de chevauchement asthme-bpco,le syndrome de chevauchement entre l'asthme et la copde
in process citation,le ying et le yang du microbiote pulmonaire,dans la citation de procédure
goodbye carol,adieu carol,Au revoir Carol
in process citation,"coxiella burnetii, agent de la fièvre q",dans la citation de procédure
in process citation,cancer de la prostate. xofigo dans le hôpitaux,dans la citation de procédure
in process citation,la polygamie met le coeur à l'épreuve!,dans la citation de procédure
in process citation,cancers en 2030: des chiffres,dans la citation de procédure
in process citation,mira et l'autisme,dans la citation de procédure
in process citation,cigarettes au menthol,dans la citation de procédure
humalog® 200 u/ml kwikpen™,le médicament du mois. humalog® 200 u/ml kwikpen™,humalog® 200 u/ml de kwikpenTM
how i treat.... nasal reconstruction,comment je traite... la reconstruction du nez,Comment traiter... la reconstruction nasale
in process citation,un modèle en clinique de maladies neuromusculaires,dans la citation de procédure
in process citation,planification des naissances,dans la citation de procédure
in process citation,encore la maladie de lyme,dans la citation de procédure
in process citation,comprendre et procéder à l'examen de l'abdomen,dans la citation de procédure
in process citation,père et travailleur. des rôles qui s'harmonisent,dans la citation de procédure
in process citation,la spondylite ankylosante,dans la citation de procédure
in process citation,tabagisme dans les lieux publics,dans la citation de procédure
in process citation,le point sur votre fondation,dans la citation de procédure
in process citation,des stratégies pour comprendre,dans la citation de procédure
in process citation,questions à propos du futur et de la medicine,dans la citation de procédure
in process citation,hug: le temps d'attente aux urgences diminue,dans la citation de procédure
in process citation,hôpital neuchâtelois: le haut veut encore y croire,dans la citation de procédure
in process citation,agisme...?,dans la citation de procédure
disseminated bone lesions,des lésions osseuses diffuses,lésions osseuses disseminées
conservative management option in elderly patients,choisir de ne pas dialyser les patients très âgés,option de traitement conservateur chez les patients âgés
a voluminous abdominal tumor in a child,une volumineuse masse abdominale chez une enfant,une tumeur abdominale volumineuse chez un enfant
hay-wells syndrome: a case report,syndrome de hay-wells : à propos d'un cas,syndrome de Hay-wells: un rapport de cas
abdominal inflammatory myofibroblastic tumor,tumeur myofibroblastique inflammatoire abdominale,tumeur inflammatoire myofibroblastique abdominale
an axillary discomfort,une gêne axillaire,une gêne axillaire
bulky fibroids during pregnancy and labor,énormes fibromes durant la grossesse et le travail,fibromes volumineux pendant la grossesse et l'accouchement
severe edematous dermatomyositis,dermatomyosite œdémateuse sévère,dermatomyosite édématose sévère
quality of publications in plastic surgery,qualité des publications en chirurgie plastique,la qualité des publications en chirurgie plastique
safety of oral ivermectin in children,tolérance de l'ivermectine orale chez l'enfant,sécurité de l' ivermectine orale chez les enfants
in process citation,"commentaire du travail de risio m et al., pp. 903",dans la citation de procédure
in process citation,"commentaire du travail de pohl h et al., pp. 891",dans la citation de procédure
"carcinogenic meat: buzz, populism and science","viande cancérigène: buzz, populisme et science","Carne carcinogène: le buzz, le populisme et la science"
"according to who, processed meat is carcinogenic","selon l'oms, la viande transformée est cancérigène","selon qui, la viande transformée est cancérogène"
meat and public health,la viande et la santé publique,la viande et la santé publique
dying at home,mourir à la maison,mourir à la maison
when too much information kills communication!,quand trop d'informations tuent la communication!,Quand trop d'informations détruisent la communication !
"amy et jake. care, reflexivity, negativity","amy et jake. care, réflexivité, négativité","Amy et Jake. Soins, réflexivité, négativité"
the teaching of care in ifsi,l'enseignement du care en ifsi,l'enseignement des soins en ifsi
care in nursing in brazil,care en soins infirmiers au brésil,soins infirmiers au Brésil
"care, the caring, the cure and the caregiver","le care, le caring, le cure et le soignant","Les soins, les soins, le remède et le soignant"
care in pediatric,le care en pédiatrie,soins pédiatriques
"care between ethics, work and political","le care entre éthique, travail et politique","- la prise en charge entre l'éthique, le travail et la politique"
the thesis of science what is it for?,la thèse de science à quoi ça sert?,"La thèse de la science, à quoi sert-elle ?"
in process citation,le revers du tube,dans la citation de procédure
in process citation,la créativité au coeur des unités de soins,dans la citation de procédure
in process citation,l'impact d'une école de l'asthme,dans la citation de procédure
in process citation,a la découverte l'évaluation clinique,dans la citation de procédure
in process citation,les infirmières font la différence!,dans la citation de procédure
in process citation,"inchiffrable, inestimable",dans la citation de procédure
in process citation,&quot;pflege weg vom hilfsberuf&quot;,dans la citation de procédure
cheilitis: diagnosis and treatment,chéilites : orientation diagnostique et traitement,chéilite: diagnostic et traitement
drugs news,info-médicaments,nouvelles de drogues
retinoblastoma update,actualités du rétinoblastome,mise à jour du rétinoblastome
in process citation,fluctuat nec mergitur,dans la citation de procédure
in process citation,radix occulta in antro,dans la citation de procédure
in process citation,un édulcorant &quot;naturel&quot; sur la sellette,dans la citation de procédure
in process citation,un programme en sept clefs,dans la citation de procédure
in process citation,implémentation d'un concept de sons,dans la citation de procédure
in process citation,"la santé mentale, un domaine fascinant",dans la citation de procédure
in process citation,la force du réseau,dans la citation de procédure
in process citation,weiterhin zuhause dank unterstützungsnetz,dans la citation de procédure
in process citation,erkämpfte selbständigkeit möglechst lange erhalten,dans la citation de procédure
in process citation,"neuer, kreativer umgang ist gefragt",dans la citation de procédure
the student nurse faced with ethical dilemmas,l'étudiant infirmier face à des dilemmes éthiques,l'infirmière étudiante face à des dilemmes éthiques
thinking ethics education,penser l'enseignement de l'éthique,éducation à l'éthique de la pensée
bioethics in the council of europe,la bioéthique au conseil de l'europe,bioéthique au Conseil de l'Europe
"bioethics, science and conscience","la bioéthique, science et conscience","bioéthique, science et conscience"
the care: an ethical act,"le soin, un acte éthique",le soin: un acte éthique
in process citation,l'éthique ou la quête du préférable,dans la citation de procédure
in process citation,œuvrer au vieillissement en bonne santé,dans la citation de procédure
neural stem cells and notch signalling,cellules souches neurales et signalisation notch,cellules souches neuronales et signalisation de notches
"watson, medicalized artificial intelligence","watson, l'intelligence artificielle médicalisée","Watson, une intelligence artificielle médicalisée"
less is more--less is nothing,less is more--less is nothing,Moins est plus - moins est rien
henri petit (1932-2014),henri petit (1932-2014),Henri Petit (1932-2014)
in process citation,les débuts de l'hôpital de la charité (paris),dans la citation de procédure
in process citation,l'hôpital vu par les écrivains,dans la citation de procédure
in process citation,vendôme et son hôpital pendant la guerre de 14-18,dans la citation de procédure
"the whiteness of the gene, the scare of the racist","la blancheur du gène, la frayeur du raciste","la blancheur du gène, la peur du raciste"
"work, it is good for health...or not","le travail, c'est bon pour la santé... ou pas","Le travail, c'est bon pour la santé... ou pas"
clinical gait analysis: user guide,analyse quantifiée de la marche: mode d'emploi,analyse clinique de la marche: guide de l'utilisateur
benefits of gluten-free diet: myth or reality?,benfaits du régime sans gluten: mythe ou réalité?,Les avantages d'un régime sans gluten: mythe ou réalité?
the comeback of paternalism?,le grand retour du paternalisme?,le retour du paternalisme ?
editorial,éditorial,rédaction
radiation retinopathy,la rétinopathie d'irradiation,rétinopathie par radiation
transolecranon fracture dislocations,les fracture-luxations transolécraniennes,délocations de fractures transolecranon
haglund deformity: report of three cases,maladie de haglund: à propos de trois cas,Déformation de la chaîne: rapport de trois cas
not that common workplace injury,accident de travail pas très commun,pas ce dommage commun au travail
mycotic spondylodiscitis,spondylodiscite mycosique,spondylodiscite mycotique
virchow never dies,virchow ne meurt jamais,Virchow ne meurt jamais
copd: an early disease,la bpco : une maladie qui commence précocement,la maladie précoce
in process citation,éditorial,dans la citation de procédure
short sagittal osteotomy,ostéotomie sagittale courte,une ostéotomie sagittale courte
in process citation,hommage à yves barat,dans la citation de procédure
malaria-related pancytopenia in children,pancytopénie associée au paludisme chez l'enfant,pancytopénie liée au paludisme chez les enfants
in process citation,la thérapie par pression négative,dans la citation de procédure
in process citation,solutés de perfusion : l'osmolarité en pratique,dans la citation de procédure
nursing care at home and secularism,soins infirmiers à domicile et laïcité,soins infirmiers à domicile et laïcité
organising an instrumental elective abortion,l'ivg instrumentale,organiser un avortement instrumental électif
in process citation,"ivg, l'écoute du psychologue",dans la citation de procédure
abortion: an ethical or political issue?,l'avortement: question éthique ou politique ?,l'avortement: une question éthique ou politique?
in process citation,"l'ivg, 40 ans après la loi veil",dans la citation de procédure
choking games among 2nd and 3rd graders,jeux d'asphyxie chez les élèves de ce1 et ce2,Jeux d'étouffement entre les 2e et 3e année
nurse to know: amenudzie yayra,la génomique : le pouvoir et la promesse,infirmière à connaître: amenudzie yayra
in process citation,éditorial,dans la citation de procédure
"increase in premiums, a fascinating impasse","augmentation des primes, une fascinante impasse","Une augmentation des primes, une impasse fascinante"
eat spicy and you will live long,mangez épicé et vous vivrez longtemps!,Mangez épicé et vous vivrez longtemps.
&quot;borderline state&quot;,&quot;etat limite inférieur&quot;,""" État frontalier """
"hiv sleeping, sleeping","vih qui dort, qui dort","le VIH, dormir, dormir"
acute pericarditis,la péricardite aiguë,une péricardite aiguë
lyme serology: what's the deal?,quelle est l'utilité de la sérologie de lyme?,Quel est le problème ?
about juvenile nasopharyngeal angiofibroma,a propos de l'angiofibrome nasopharyngien juvénile,sur l' angiofibrome nasopharyngéen juvénile
euthanasia and assisted suicide,euthanasie et suicide assisté,euthanasie et suicide assisté
selected ethical issues in oncogenetics,questions éthiques choisies en oncogénétique,questions éthiques sélectionnées en oncogénétique
the right to a chromosomally perfect child,le droit à un enfant chromosomiquement parfait,le droit à un enfant chromosomiquement parfait
surrogacy: towards legalization?,la gpa: vers la légalisation ?,La maternité de substitution: vers la légalisation ?
postmortem paternity,la paternité post mortem,paternité après mort
the desired access to the origins: which access?,l'accès désiré aux origines: quelaccès?,l'accès souhaité aux origines: quel accès?
summing up,rapport de synthèse,résumé
the french bioethics laws are 20 years old!,les lois françaises de bioéthique ont 20 ans !,Les lois françaises sur la bioéthique ont 20 ans !
foreword,avant-propos,préface
ultrasound-guided peripheral venous access,abords veineux périphériques échoguidés,accès veineux périphérique guidé par ultrasons
lycanthropy and medicine,la lycanthropie dans la médecine,lycanthropie et médecine
in process citation,ektodermale dysplasie,dans la citation de procédure
epilogue,épilogue,épisode
"thank you, haiti","mesi ampil, ayiti","Merci, Haïti"
becoming a psychiatrist in 2015,devenir psychiatre en 2015,devenir psychiatre en 2015
drug hypersensitivity,hypersensibilité aux médicaments,hypersensitivité aux médicaments
vaccination against heppatitis b: what's up?,vaccination contre l'hépatite b: où en est-on?,vaccination contre l'hépatite B: qu'est-ce qui se passe ?
smoking cessation in pregnancy,sevrage tabagique chez la femme enceinte,Arrêt du tabagisme pendant la grossesse
what's new in ... hematology,la révolution des traitements ciblés,Qu'est-ce qui est nouveau dans... l'hématologie
kidney failure,"&quot;dialyse et travail, une galère?&quot;",insuffisance rénale
good's syndrome,syndrome de good,le syndrome du bien
health to the help of negotiations on climate,la santé au secours des négociations sur le climat,santé à l'aide des négociations sur le climat
a new revue du praticien,une nouvelle revue du praticien,une nouvelle revue du praticien
"volkswagen, study 329, the same","volkswagen, &quot;étude 329&quot;, mêmes faux-nez","Volkswagen, étude 329, le même"
concomitant anosmia and ageusia: a case report,anosmie et agueusie: è propos d'un cas,Anosmie et ageusia concomitantes: rapport de cas
atopic dermatitis of the adult,dermatite atopique de l'adulte,dermatite atopique chez l' adulte
in process citation,journées dermatologiques de paris 2015,dans la citation de procédure
subconjunctival migration of a loa loa parasite,migration sous-conjonctivale d'une loase,migration sous-conjonctive d'un parasite de laou
suicide headache,la céphalée suicidaire,douleur de tête suicidaire
genital lichen sclerosus in boys,lichen scléreux génital chez le garçon,sclérose lichenne génitale chez les garçons
book review,ouvrages,révision des livres
septic shock and tissierella praeacuta,choc septique et tissierella praeacuta,choc septique et tissu préacuté
information on drugs,l'information sur le médicament,Informations sur les drogues
information about drugs,l'information sur le médicament,informations sur les drogues
"information, a fundamental patient right?","l'information, droit fondamental du patient?","Une information, un droit de base du patient ?"
is patient information an illusion?,l'information du patient est-elle un leurre?,L'information des patients est-elle une illusion ?
"a manner of voicing, the mass hysteria","une manière de s'exprimer, l'hystérie collective","une façon d'exprimer, l'hystérie de masse"
sleep duration and metabolism,durée de sommeil et métabolisme,durée du sommeil et métabolisme
thyroid and the environment,thyroïde et environnement,la thyroïde et l'environnement
allergic fungal rhinosinusitis,rhinosinusite fongique allergique (rsf),rhinosinusite fongique allergique
cutaneous larva migrans in mauritania,larva migrans cutanée en mauritanie,larves migrantes cutanées en Mauritanie
a para-aortic opacity,une opacité para-aortique,une opacité para-aortique
leiomyosarcoma of the tongue: about a case,leiomyosarcome de la langue: à propos d'un cas,Le leomyosarcome de la langue: sur un cas
inguinal hernia of the bladder: about 8 cases,hernie inguinale de la vessie: à propos de 8 cas,hernie inguinale de la vessie: environ 8 cas
posterior pole arterial vascular variant,variante vasculaire artérielle au pôle postérieur,variante vasculaire artérielle du pôle arrière
tinu syndrome: a case report,syndrome tinu : à propos d'un cas,syndrome de Tinu: un rapport de cas
transoral coronoidectomy: technical note,coronoïdectomie intra-orale : note technique,Coronoïdectomie transorale: note technique
hepatic encephalopathy,encéphalopathie hépatique,encephalopathie hépatique
double cilioretinal artery,artère ciliorétinienne double,artère ciliorétinienne double
vascular factors in glaucoma,facteurs vasculaires du glaucome,facteurs vasculaires dans le glaucome
diabetes and reticular macular dystrophy,diabète et dystrophie maculaire réticulée,diabète et dystrophie maculaire réticulaire
factitious diseases in oncology,les pathologies factices en oncologie,maladies factuelles en oncologie
henry hamard (1933-2015),hommage,Henry Hamard (1933-2015)
participate in the group? ... but why?,participer au groupe? . . . mais pourquoi faire?,- Je ne peux pas participer au groupe.
promoting a complementary approach,promouvoir une approche de complémentarité,promouvoir une approche complémentaire
the luck of being a woman,la chance d'etre femme,La chance d'être une femme
documenting lifelong learning online,lebenslanges lernen online dokumentieren,documentation de l'apprentissage tout au long de la vie en ligne
&quot;doing what one does best&quot;,"&quot;das tun, was man am besten kann&quot;",&quot; faire ce que l' on fait le mieux &quot;
the woman at the source of the initiative,die frau am ursprung der initiative,la femme à la source de l'initiative
&quot;also highlight the economic benefits&quot;,&quot;auch den ökonomischen nutzen aufzeigen&quot;,""" souligner également les avantages économiques """
doubt is useful!,le doute nous est utile !,Le doute est utile !
contraception and abortion: an update in 2015,contraception et interruption de grossesse,Contraception et avortement: une mise à jour en 2015
"women, forgotten by clinical research","les femmes, oubliées de la recherche clinique","les femmes, oubliées par la recherche clinique"
women and women's health,des femmes et de la santé,santé des femmes et des femmes
anti-aging medicine: science or marketing ?,médecine anti-âge : science ou marketing ?,Médecine anti-âge: science ou marketing ?
the diagnosis of food allergies,la mise au point des allergies alimentaires,le diagnostic des allergies alimentaires
cutaneous vascular anomalies in children,les anomalies vasculaires cutanées chez l'enfant,anomalies vasculaires cutanées chez les enfants
therapeutic algorithm for low back pain,algorithme thérapeutique de la lombalgie,algorithme thérapeutique pour la douleur au bas du dos
are orthopedic inner soles useful or not,utilité des semelles orthopédiques,sont ou non utiles les semelles internes orthopédiques
intra-articular injections,les injections intra-articulaires,injections intra-articulaires
skin sampling for the general practitioner,prélèvements cutanés en médecine générale,Prise d'échantillons de peau pour le médecin généraliste
preventing cervical cancer,la prévention du cancer du col utérin,prévention du cancer du col de l'utérus
melanoma secondary prevention,dépistage du mélanome,prévention secondaire du mélanome
systematic follow-up of infants born preterm,le suivi systématique des grands prématurés,suivi systématique des nourrissons nés prématurément
editorial from the editor-in-chief,l'editorial du redacteur en chef,rédactionniste du rédacteur en chef
editorial from a.m.u.b. 's president,l'editorial du president de l'a.m.u.b,Le rédacteur en chef de l' AMUB
renal transplantation from abo incompatible donors,transplantation rénale abo incompatible,Transplantation rénale chez des donneurs incompatibles
