en,fr,predicted,meteor_score
the cornea surrounds and protects the eye.,la cornée enveloppe et protège l’œil.,la cornée entoure et protège l'œil.,0.5068181818181817
microwaves are of immense interest to astronomers.,les micro-ondes sont très étudiées en astronomie.,Les micro-ondes sont d'un immense intérêt pour les astronomes.,0.38490853658536583
the result is a photographic image.,le résultat est alors une image.,Le résultat est une image photographique.,0.8035714285714286
let’s take a look at the case of temperature.,prenons le cas de la température.,Nous allons jeter un coup d'œil à la température.,0.4033485540334855
it was the first true photometer.,c’est le premier « vrai » photomètre.,C'était le premier photomètre réel.,0.32877604166666663
"in all, 2,363 infrared sources were detected.","en tout, 2363 sources infrarouges sont détectées.","Au total, 2 363 sources infrarouges ont été détectées.",0.48478260869565226
it was the first photograph of our sun’s spectrum.,c’est la première photographie du spectre solaire.,C'était la première photographie de notre spectre solaire.,0.5948372615039282
"the answer was not long in coming, however.",la réponse ne tardera pas.,La réponse ne tarda pas à arriver.,0.7193548387096775
this is destructive interference.,on parle alors d’interférence destructive.,C'est une interférence destructive.,0.38239538239538234
the first tests were performed in 1983 and 1984.,les premiers tests sont réalisés en 1983 et 1984.,Les premiers essais ont été effectués en 1983 et 1984.,0.6849868660335421
what would we do without it?,que ferions-nous sans elle ?,- On ferait quoi sans elle ?,0.5662393162393162
so what exactly is light?,mais qu'est-ce donc que la lumière ?,"Alors, qu'est-ce que la lumière exactement ?",0.6281690140845071
text of this activity,texte de l'activité,texte de cette activité,0.6048387096774195
gamma rays the most energetic form of light.,rayons gamma lumière la plus énergétique qui soit.,Les rayons gamma sont la forme la plus énergétique de lumière.,0.6824665350010973
the sun under gamma rays,le soleil vu sous les rayons gamma,le soleil sous les rayons gamma,0.8534621578099838
the sun under x-rays,le soleil vu sous les rayons x,le soleil sous les rayons X,0.8534621578099838
the sun under ultraviolet,le soleil vu sous les rayons ultraviolet,le soleil sous ultraviolet,0.47108208955223874
the sun visible,le soleil vu dans la zone visible,le soleil visible,0.3872053872053872
the sun under infrared,le soleil vu sous les rayons infrarouges,le soleil sous infrarouge,0.47108208955223874
the sun under radio waves,le soleil vu dans la zone des fréquences radio,le soleil sous les ondes radio,0.2937420178799489
emission spectra of hydrogen.,spectre d'émission de l'hydrogène.,spectre d'émission de l'hydrogène.,0.996
emission spectra of iron.,spectre d'émission du fer.,spectre d'émission du fer.,0.996
boy what is a light year?,bulle garçon qu’est-ce qu’une année-lumière?,- Quel est l'année-lumière ?,0.052631578947368425
girl it’s like travelling through time.,bulle fille comme si nous voyagions dans le temps.,C'est comme voyager dans le temps.,0.4989690721649485
now i understand!,je comprend!,Je comprends !,0.9814814814814815
wildlife and plants are also affected.,la faune et la flore sont également touchées.,Les espèces sauvages et les plantes sont également touchées.,0.5318681318681319
your turn to get involved!,"alors, à vous de jouer!",C'est à vous de vous impliquer !,0.2857142857142857
click on:,vous pouvez cliquer sur :,Cliquez sur:,0.39062499999999994
"the young man replied, ""i am morning star.",« je suis étoile du matin.,"Le jeune homme répondit: ""Je suis l'étoile du matin.",0.6453333333333334
this one is from the iroquois of ontario.,la première provient des iroquois de l'ontario :,Celui-ci vient des iroquois de l'Ontario.,0.5023734177215189
"""don’t be stupid,"" another replied.","« ne soit pas stupide », dit un autre.","""Ne sois pas stupide"", répondit un autre.",0.5769944341372912
"""rocks can be broken.""",« les rochers peuvent se briser.,"""les rochers peuvent être brisés"".",0.5281690140845071
"""what about trees?",»,"""et les arbres ?",0.0
"""why not take on the form of night?",« pourquoi ne pas prendre la forme de la nuit?,"""pourquoi ne pas prendre la forme de la nuit?",0.9086363636363638
"""they live in the sky and never die.""",« elles habitent le ciel et ne meurent jamais.,"""ils vivent dans le ciel et ne meurent jamais"".",0.6782713085234094
it occupied the centre of their universe.,elle occupe aussi le centre de l'univers.,Il occupait le centre de leur univers.,0.46875
four men were hunting a bear.,quatre hommes poursuivaient un ours.,Quatre hommes chassaient un ours.,0.8066666666666668
the moon-man heard him and descended to earth.,l'homme-lune l'entendit et descendit sur terre.,L'homme de la lune l'a entendu et est descendu sur terre.,0.48701298701298706
"it evolved over time, and thus it has a history.","en d’autres mots, il a une histoire.","Il a évolué au fil du temps, et donc il a une histoire.",0.5165692007797271
it is dangerous to view the sun directly.,il est dangereux d'observer directement le soleil.,Il est dangereux de regarder le soleil directement.,0.783572688334593
bring a notebook and pencil to take notes.,la musique peut être une option agréable.,apporter un carnet et un crayon pour prendre des notes.,0.06024096385542169
how does a star finder work?,comment fonctionne le cherche-étoiles?,Comment fonctionne une trouvaille d'étoiles ?,0.5010893246187365
the way a star finder works is simple.,le fonctionnement du cherche-étoiles est simple.,Le fonctionnement d'un chercheur d'étoiles est simple.,0.6816901408450705
astronomers,astronomes,astronomes,0.5
astronomers glossary,astronomes glossaire,glossaire des astronomes,0.4761904761904762
synonym: shooting star.,synonyme: étoile filante.,synonyme: étoile qui se déclenche.,0.7211538461538461
◦ radiation:,◦ radiation :,◦ rayonnement:,0.3333333333333333
it is small and dim.,◦ tache solaire :,Il est petit et épais.,0.0
astronomers,verbatim,astronomes,0.0
i know what you’re thinking:,je sais... vous allez dire « y a rien là ».,Je sais ce que vous pensez:,0.20609318996415774
"""sound  s boring!""",mais écoutez bien...,""" Ça sonne ennuyeux ! """,0.0
"in fact, i was beginning to think we were lost.",en fait... je crois que nous étions perdus.,"En fait, je commençais à penser que nous étions perdus.",0.7636335784313727
bubble are we almost there?,bulle quand est-ce qu’on arrive?,"Bubble, on est presque là ?",0.12658227848101264
bubble i’m hungry.,bulle j’ai faim.,Je suis affamé.,0.08620689655172413
