en_tokenized,fr_tokenized
"['in', 'process', 'citation']","['diabète', 'inaugural']"
"['how', 'tango', 'dance', 'could', 'improve', 'erotical', 'skills', '?']","['du', 'tango', 'pour', 'booster', 'les', 'compétences', 'érotiques', '?']"
"['in', 'process', 'citation']","['des', 'parents', 'sur', 'mesure']"
"['in', 'process', 'citation']","['changements', 'de', 'caisse', 'maladie', ':', 'le', 'dilemme', 'des', 'ems']"
"['in', 'process', 'citation']","['la', 'guerre', 'tue']"
"['in', 'process', 'citation']","[""l'âge"", 'des', 'promesses', 'non', 'tenues']"
"['how', 'to', 'manage', 'a', 'pyelocalyceal', 'dilatation', '?']","['que', 'faire', 'face', 'à', 'une', 'dilatation', 'pyélocalicielle', '?']"
"['gender', 'disparities', 'in', 'urologic', 'cancers']","['inégalité', 'des', 'sexes', 'face', 'au', 'cancer', 'en', 'urologie']"
"['in', 'process', 'citation']","['regards', 'sur', 'movember']"
"['copd', ':', 'gender', 'equality', 'now', '!']","['la', 'bpco', ':', 'enfin', 'la', 'parité', '!']"
"['a', 'thoracic', 'cystic', 'lesion']","['une', 'lésion', 'kystique', 'thoracique']"
"['aortitis', 'in', 'giant', 'cell', 'arteritis']","['atteinte', 'aortique', 'dans', 'la', 'maladie', 'de', 'horton']"
"['tribute', 'to', 'jean-jacques', 'lefrère']","['hommage', 'à', 'jean-jacques', 'lefrère']"
"['pulmonary', 'sarcomatoid', 'carcinoma']","['carcinomes', 'sarcomatoïdes', 'pulmonaires']"
"['neonatal', 'uterine', 'prolapse']","['prolapsus', 'utérin', 'néonatal', 'isolé']"
"['two', 'cases', 'of', 'endobronchial', 'tuberculosis']","['deux', 'cas', 'de', 'tuberculose', 'endobronchique']"
"['living', 'with', 'diabetes', 'during', 'adolescence']","['vivre', 'avec', 'un', 'diabète', 'à', ""l'adolescence""]"
"['the', 'social', 'integration', 'of', 'children', 'with', 'diabetes']","[""l'intégration"", 'sociale', 'de', ""l'enfant"", 'diabétique']"
"['in', 'process', 'citation']","['di', '@', 'bétomobile', ',', 'un', 'projet', ""d'éducation"", 'thérapeutique']"
"['managing', 'the', 'pain', 'linked', 'to', 'diabetes']","['lutter', 'contre', 'la', 'douleur', 'liée', 'au', 'diabète']"
"['treating', 'diabetes', 'with', 'an', 'insulin', 'pump']","['le', 'traitement', 'du', 'diabète', 'par', 'pompe', 'à', 'insuline']"
"['epidemiology', 'of', 'type', '1', 'diabetes', 'in', 'children']","['épidémiologie', 'du', 'diabète', 'de', 'type', '1', 'de', ""l'enfant""]"
"['in', 'process', 'citation']","['des', 'évolutions', 'majeures']"
"['in', 'process', 'citation']","['encadrer', 'pour', 'transmettre']"
"['negative', 'symptoms', ':', 'which', 'antipsychotics', '?']","['symptômes', 'négatifs', ':', 'quels', 'antipsychotiques', '?']"
"['negative', 'symptoms', 'and', 'cerebral', 'imaging']","['symptômes', 'négatifs', 'et', 'imagerie', 'cérébrale']"
"['genetics', 'of', 'congenital', 'lipodystrophies']","['génétique', 'des', 'lipodystrophies', 'congénitales']"
"['in', 'process', 'citation']",['éditorial']
"['an', 'unusual', 'cause', 'of', 'hemoptysis']","['une', 'cause', 'inhabituelle', ""d'hémoptysie""]"
"['pyogenic', 'brain', 'abscesses', 'in', 'adults']","['abcès', 'cérébraux', 'à', 'pyogènes', 'de', ""l'adulte""]"
"['short-course', 'antibiotic', 'regimens', ':', 'up-to-date']","['durée', 'courte', ""d'antibiothérapie""]"
"['in', 'process', 'citation']","['hulk', 'et', 'batman', ',', ""l'improbable"", 'lien']"
"['in', 'process', 'citation']","['le', 'reiki', ',', 'pour', 'soulager', 'la', 'douleur', 'chronique']"
"['in', 'process', 'citation']","['racisme', 'dans', 'les', 'soins', ':', 'une', 'réalité', 'sournoise']"
"['in', 'process', 'citation']","['a', 'fond', 'les', 'pédales', '!']"
"['in', 'process', 'citation']","['la', 'réponse', 'aux', 'besoins', 'des', 'femmes', 'est', 'urgente']"
"['in', 'process', 'citation']","['en', 'première', 'instance', ',', 'les', 'infirmières']"
"['in', 'process', 'citation']","['vouloir', ""c'est"", 'pouvoir']"
"['in', 'process', 'citation']","['die', 'pflege', 'positionieren', 'und', 'weiterentwickeln']"
"['in', 'process', 'citation']","['wegweisende', 'entscheidung', 'für', 'den', 'sbk']"
"['a', 'chronic', 'cough', 'of', 'unusual', 'cause']","['une', 'cause', 'rare', 'de', 'toux', 'chronique']"
"['salivary', 'gland-type', 'lung', 'tumor', ':', 'an', 'update']","['tumeurs', 'de', 'type', 'glandes', 'salivaires', 'du', 'poumon']"
"['synovial', 'sarcoma', 'in', 'children', 'and', 'adolescents']","['les', 'synovialosarcomes', 'de', ""l'enfant"", 'et', ""l'adolescent""]"
"['central', 'manifestations', 'of', 'dystrophinopathies']","['manifestations', 'centrales', 'des', 'dystrophinopathies']"
"['cardiac', 'involvement', 'in', 'dystrophinopathies']","['aspects', 'cardiologiques', 'des', 'dystrophinopathies']"
"['genetic', 'counseling', 'in', 'dystrophinopathies']","['conseil', 'génétique', 'dans', 'les', 'dystrophinopathies']"
"['the', 'collodion', 'baby']","['le', 'bébé', 'collodion']"
"['history', 'of', 'keloid']","['histoire', 'de', 'la', 'chéloïde']"
['meta-synthesis'],"['la', 'méta-synthèse']"
"['in', 'process', 'citation']","['les', 'pansements', 'du', 'futur']"
"['improper', 'use', 'of', 'dressings']","['mésusages', 'des', 'pansements']"
"['secondary', 'dressings']","['les', 'pansements', 'secondaires']"
"['the', 'prescribing', 'of', 'dressings']","['la', 'prescription', 'des', 'pansements']"
"['negative', 'pressure', 'wound', 'therapy', 'dressings']","['les', 'pansements', 'de', 'traitement', 'par', 'pression', 'négative']"
"['dressings', 'for', 'malodorous', 'wounds']","['les', 'pansements', 'des', 'plaies', 'malodorantes']"
"['dressings', 'for', 'superficial', 'wounds']","['les', 'pansements', 'des', 'plaies', 'superficielles']"
"['neutral', 'and', 'impregnated', 'dressings', 'and', 'products']","['les', 'pansements', 'et', 'produits', 'neutres', 'et', 'imprégnés']"
"['debridement', 'dressings']","['les', 'pansements', 'de', 'la', 'détersion']"
"['in', 'process', 'citation']","['le', 'choix', 'du', 'pansement', ',', 'une', 'démarche', 'soignante']"
"['in', 'process', 'citation']","['vingt', 'ans', 'de', 'progrès', 'dans', 'le', 'soin', 'des', 'plaies']"
"['in', 'process', 'citation']","['pensionskassen', 'zwischen', 'realer', 'und', 'idealer', 'welt']"
"['in', 'process', 'citation']","['feuerwerksknallerei', 'und', 'tierwohl']"
"['in', 'process', 'citation']","['modulbuch', 'für', 'veterinäre']"
"['in', 'process', 'citation']","['kleinwiederkäuertagung', '2015']"
"['in', 'process', 'citation']","['abwerbeverbot', '--', 'was', 'ist', 'zulässig', ',', 'was', 'nicht', '?']"
"['in', 'process', 'citation']","['10', 'jahre', 'netzwerktagung', 'pferdeforschung', 'schweiz']"
"['medical', 'treatment', 'of', 'endometriosis']","['traitement', 'medical', 'de', ""l'endométriose""]"
"['a', 'small', 'piece', 'of', 'switzerland']","['ein', 'kleines', 'stück', 'schweiz']"
"['in', 'process', 'citation']","['konflikte', 'am', 'arbeitsplatz']"
"['in', 'process', 'citation']","['tag', 'der', 'offenen', 'tür', 'an', 'der', 'vetsuisse-fakultät', 'bern']"
"['in', 'process', 'citation']","['wertvolle', 'impulse', 'für', 'den', 'beruflichen', 'alltag']"
"['in', 'process', 'citation']","['die', 'bündner', 'tierärzte', 'an', 'der', 'higa']"
"['in', 'process', 'citation']",['gst-mitgliederumfrage']
"['in', 'process', 'citation']","['habe', 'ich', 'einen', 'job', 'oder', 'habe', 'ich', 'einen', 'beruf', '?']"
"['in', 'process', 'citation']","['als', 'tierärztin', 'unterwegs', 'in', 'der', 'somali', 'region']"
"['in', 'process', 'citation']","['gemeinsame', 'stossrichtung', 'zum', 'berufseinstieg']"
"['in', 'process', 'citation']","['feiertage', '-', 'ferientage']"
"['in', 'process', 'citation']","['mit', 'altem', 'wissen', 'in', 'die', 'zukunft']"
"['in', 'process', 'citation']","['formen', 'von', 'bereitschaftsdienst']"
"['in', 'process', 'citation']","['ferienkürzung', 'bei', 'krankheit']"
"['in', 'process', 'citation']","['zusammen', 'sind', 'wir', 'stark', '!']"
"['in', 'process', 'citation']","['ich', 'musste', 'ein', 'bisschen', 'in', 'die', 'anästhesie']"
"['in', 'process', 'citation']","['neuweltkamelidentagung', '2014']"
"['in', 'process', 'citation']","['arbeitskleidung', '-', 'kostentragung', 'und', 'reinigung']"
"['in', 'process', 'citation']",['aufbruchstimmung']
"['evin', 'law', ':', 'moderation', 'in', 'the', 'addiction', ""'s"", 'age']","['loi', 'evin', ':', 'modération', 'au', 'temps', 'des', 'addictions']"
"['history', 'of', 'acute', 'promyelocytic', 'leukemia']","['histoire', '(', 's', ')', 'de', 'la', 'leucémie', 'aiguë', 'promyélocytaire']"
"['future', 'therapies', 'for', 'cystic', 'fibrosis']","['perspectives', 'thérapeutiques', 'dans', 'la', 'mucoviscidose']"
"['cystic', 'fibrosis']",['mucoviscidose']
"['thromboangiitis', 'obliterans', '(', 'buerger', ""'s"", 'disease', ')']","['maladie', 'de', 'buerger']"
"['infections', 'in', 'the', 'transplant', 'patient']","['infections', 'chez', 'le', 'patient', 'greffé']"
"['what', ""'s"", 'new', 'in', 'neurology']","['la', 'neurologie', 'comme', 'discipline', 'thérapeutique']"
"['living', 'with', 'hiv']","['vivre', 'avec', '...', 'le', 'vih']"
"['kasabach-merritt', 'syndrome']","['syndrome', 'de', 'kasabach-merritt']"
"['glp-1', 'receptor', 'agonists', ':', 'current', 'state']","['analogues', 'du', 'glp-1', ':', 'où', 'en', 'est-on', '?']"
"['treatment', 'of', 'type', '2', 'diabetes']","['traitement', 'du', 'diabete', 'de', 'type', '2']"
"['immigration', ',', 'a', 'phenomenon', 'with', 'no', 'name']","[""l'immigration"", ',', 'un', 'phénomène', 'qui', 'n', ""'"", 'a', 'pas', 'de', 'nom']"
"['drugs', 'and', 'alcohol', ':', 'a', 'bad', 'mix']","['médicaments', 'et', 'alcool', ':', 'un', 'mauvais', 'ménage']"
"['french', 'health', ':', 'senators', ',', 'one', 'effort', 'more', '!']","['sante', 'des', 'français', ':', 'sénateurs', ',', 'encore', 'un', 'effort', '!']"
"['temporal', 'meaning', 'of', 'suffering']","['le', 'sens', 'temporel', 'de', 'la', 'souffrance']"
"['time', 'perceptions', 'and', 'representations']","['représentations', 'et', 'perceptions', 'du', 'temps']"
"['in', 'process', 'citation']","['des', 'droits', 'des', 'patients', 'de', 'plus', 'en', 'plus', 'prégnants']"
"['management', 'of', 'patients', 'with', 'stomas']","['prise', 'en', 'charge', 'des', 'patients', 'stomisés']"
"['intestinal', 'obstruction', ',', 'an', 'overview']","[""l'occlusion"", 'intestinale', ',', 'état', 'des', 'lieux']"
"['in', 'process', 'citation']","[""l'occlusion"", 'intestinale', ',', 'une', 'urgence', 'thérapeutique']"
"['in', 'process', 'citation']","['renforcer', ""l'accès"", 'aux', 'soins', 'des', 'plus', 'démunis']"
"['in', 'process', 'citation']","['dignitas', 'submergée', 'par', 'les', 'demandes', 'allemandes']"
"['in', 'process', 'citation']","['libido', 'noscendi']"
"['chronic', 'fatigue', 'syndrome']","['syndrome', 'de', 'fatigue', 'chronique']"
"['in', 'process', 'citation']","['médecins-conseils', ':', ""l'arme"", 'fatale', 'des', 'assureurs']"
"['in', 'process', 'citation']",['réponse']
"['in', 'process', 'citation']","['des', 'femmes', 'et', 'de', 'la', 'santé']"
"['in', 'process', 'citation']","['connaissance', 'de', 'la', 'souffrance']"
"['management', 'of', 'massive', 'haemoptysis']","['prise', 'en', 'charge', 'de', ""l'hémoptysie"", 'massive']"
"['the', 'asthma-copd', 'overlap', 'syndrome']","['le', 'syndrome', 'de', 'chevauchement', 'asthme-bpco']"
"['in', 'process', 'citation']","['le', 'ying', 'et', 'le', 'yang', 'du', 'microbiote', 'pulmonaire']"
"['goodbye', 'carol']","['adieu', 'carol']"
"['in', 'process', 'citation']","['coxiella', 'burnetii', ',', 'agent', 'de', 'la', 'fièvre', 'q']"
"['in', 'process', 'citation']","['cancer', 'de', 'la', 'prostate', '.', 'xofigo', 'dans', 'le', 'hôpitaux']"
"['in', 'process', 'citation']","['la', 'polygamie', 'met', 'le', 'coeur', 'à', ""l'épreuve"", '!']"
"['in', 'process', 'citation']","['cancers', 'en', '2030', ':', 'des', 'chiffres']"
"['in', 'process', 'citation']","['mira', 'et', ""l'autisme""]"
"['in', 'process', 'citation']","['cigarettes', 'au', 'menthol']"
"['humalog®', '200', 'u/ml', 'kwikpen™']","['le', 'médicament', 'du', 'mois', '.', 'humalog®', '200', 'u/ml', 'kwikpen™']"
"['how', 'i', 'treat', '....', 'nasal', 'reconstruction']","['comment', 'je', 'traite', '...', 'la', 'reconstruction', 'du', 'nez']"
"['in', 'process', 'citation']","['un', 'modèle', 'en', 'clinique', 'de', 'maladies', 'neuromusculaires']"
"['in', 'process', 'citation']","['planification', 'des', 'naissances']"
"['in', 'process', 'citation']","['encore', 'la', 'maladie', 'de', 'lyme']"
"['in', 'process', 'citation']","['comprendre', 'et', 'procéder', 'à', ""l'examen"", 'de', ""l'abdomen""]"
"['in', 'process', 'citation']","['père', 'et', 'travailleur', '.', 'des', 'rôles', 'qui', ""s'harmonisent""]"
"['in', 'process', 'citation']","['la', 'spondylite', 'ankylosante']"
"['in', 'process', 'citation']","['tabagisme', 'dans', 'les', 'lieux', 'publics']"
"['in', 'process', 'citation']","['le', 'point', 'sur', 'votre', 'fondation']"
"['in', 'process', 'citation']","['des', 'stratégies', 'pour', 'comprendre']"
"['in', 'process', 'citation']","['questions', 'à', 'propos', 'du', 'futur', 'et', 'de', 'la', 'medicine']"
"['in', 'process', 'citation']","['hug', ':', 'le', 'temps', ""d'attente"", 'aux', 'urgences', 'diminue']"
"['in', 'process', 'citation']","['hôpital', 'neuchâtelois', ':', 'le', 'haut', 'veut', 'encore', 'y', 'croire']"
"['in', 'process', 'citation']","['agisme', '...', '?']"
"['disseminated', 'bone', 'lesions']","['des', 'lésions', 'osseuses', 'diffuses']"
"['conservative', 'management', 'option', 'in', 'elderly', 'patients']","['choisir', 'de', 'ne', 'pas', 'dialyser', 'les', 'patients', 'très', 'âgés']"
"['a', 'voluminous', 'abdominal', 'tumor', 'in', 'a', 'child']","['une', 'volumineuse', 'masse', 'abdominale', 'chez', 'une', 'enfant']"
"['hay-wells', 'syndrome', ':', 'a', 'case', 'report']","['syndrome', 'de', 'hay-wells', ':', 'à', 'propos', ""d'un"", 'cas']"
"['abdominal', 'inflammatory', 'myofibroblastic', 'tumor']","['tumeur', 'myofibroblastique', 'inflammatoire', 'abdominale']"
"['an', 'axillary', 'discomfort']","['une', 'gêne', 'axillaire']"
"['bulky', 'fibroids', 'during', 'pregnancy', 'and', 'labor']","['énormes', 'fibromes', 'durant', 'la', 'grossesse', 'et', 'le', 'travail']"
"['severe', 'edematous', 'dermatomyositis']","['dermatomyosite', 'œdémateuse', 'sévère']"
"['quality', 'of', 'publications', 'in', 'plastic', 'surgery']","['qualité', 'des', 'publications', 'en', 'chirurgie', 'plastique']"
"['safety', 'of', 'oral', 'ivermectin', 'in', 'children']","['tolérance', 'de', ""l'ivermectine"", 'orale', 'chez', ""l'enfant""]"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'risio', 'm', 'et', 'al.', ',', 'pp', '.', '903']"
"['in', 'process', 'citation']","['commentaire', 'du', 'travail', 'de', 'pohl', 'h', 'et', 'al.', ',', 'pp', '.', '891']"
"['carcinogenic', 'meat', ':', 'buzz', ',', 'populism', 'and', 'science']","['viande', 'cancérigène', ':', 'buzz', ',', 'populisme', 'et', 'science']"
"['according', 'to', 'who', ',', 'processed', 'meat', 'is', 'carcinogenic']","['selon', ""l'oms"", ',', 'la', 'viande', 'transformée', 'est', 'cancérigène']"
"['meat', 'and', 'public', 'health']","['la', 'viande', 'et', 'la', 'santé', 'publique']"
"['dying', 'at', 'home']","['mourir', 'à', 'la', 'maison']"
"['when', 'too', 'much', 'information', 'kills', 'communication', '!']","['quand', 'trop', ""d'informations"", 'tuent', 'la', 'communication', '!']"
"['amy', 'et', 'jake', '.', 'care', ',', 'reflexivity', ',', 'negativity']","['amy', 'et', 'jake', '.', 'care', ',', 'réflexivité', ',', 'négativité']"
"['the', 'teaching', 'of', 'care', 'in', 'ifsi']","[""l'enseignement"", 'du', 'care', 'en', 'ifsi']"
"['care', 'in', 'nursing', 'in', 'brazil']","['care', 'en', 'soins', 'infirmiers', 'au', 'brésil']"
"['care', ',', 'the', 'caring', ',', 'the', 'cure', 'and', 'the', 'caregiver']","['le', 'care', ',', 'le', 'caring', ',', 'le', 'cure', 'et', 'le', 'soignant']"
"['care', 'in', 'pediatric']","['le', 'care', 'en', 'pédiatrie']"
"['care', 'between', 'ethics', ',', 'work', 'and', 'political']","['le', 'care', 'entre', 'éthique', ',', 'travail', 'et', 'politique']"
"['the', 'thesis', 'of', 'science', 'what', 'is', 'it', 'for', '?']","['la', 'thèse', 'de', 'science', 'à', 'quoi', 'ça', 'sert', '?']"
"['in', 'process', 'citation']","['le', 'revers', 'du', 'tube']"
"['in', 'process', 'citation']","['la', 'créativité', 'au', 'coeur', 'des', 'unités', 'de', 'soins']"
"['in', 'process', 'citation']","[""l'impact"", ""d'une"", 'école', 'de', ""l'asthme""]"
"['in', 'process', 'citation']","['a', 'la', 'découverte', ""l'évaluation"", 'clinique']"
"['in', 'process', 'citation']","['les', 'infirmières', 'font', 'la', 'différence', '!']"
"['in', 'process', 'citation']","['inchiffrable', ',', 'inestimable']"
"['in', 'process', 'citation']","['&', 'quot', ';', 'pflege', 'weg', 'vom', 'hilfsberuf', '&', 'quot', ';']"
"['cheilitis', ':', 'diagnosis', 'and', 'treatment']","['chéilites', ':', 'orientation', 'diagnostique', 'et', 'traitement']"
"['drugs', 'news']",['info-médicaments']
"['retinoblastoma', 'update']","['actualités', 'du', 'rétinoblastome']"
"['in', 'process', 'citation']","['fluctuat', 'nec', 'mergitur']"
"['in', 'process', 'citation']","['radix', 'occulta', 'in', 'antro']"
"['in', 'process', 'citation']","['un', 'édulcorant', '&', 'quot', ';', 'naturel', '&', 'quot', ';', 'sur', 'la', 'sellette']"
"['in', 'process', 'citation']","['un', 'programme', 'en', 'sept', 'clefs']"
"['in', 'process', 'citation']","['implémentation', ""d'un"", 'concept', 'de', 'sons']"
"['in', 'process', 'citation']","['la', 'santé', 'mentale', ',', 'un', 'domaine', 'fascinant']"
"['in', 'process', 'citation']","['la', 'force', 'du', 'réseau']"
"['in', 'process', 'citation']","['weiterhin', 'zuhause', 'dank', 'unterstützungsnetz']"
"['in', 'process', 'citation']","['erkämpfte', 'selbständigkeit', 'möglechst', 'lange', 'erhalten']"
"['in', 'process', 'citation']","['neuer', ',', 'kreativer', 'umgang', 'ist', 'gefragt']"
"['the', 'student', 'nurse', 'faced', 'with', 'ethical', 'dilemmas']","[""l'étudiant"", 'infirmier', 'face', 'à', 'des', 'dilemmes', 'éthiques']"
"['thinking', 'ethics', 'education']","['penser', ""l'enseignement"", 'de', ""l'éthique""]"
"['bioethics', 'in', 'the', 'council', 'of', 'europe']","['la', 'bioéthique', 'au', 'conseil', 'de', ""l'europe""]"
"['bioethics', ',', 'science', 'and', 'conscience']","['la', 'bioéthique', ',', 'science', 'et', 'conscience']"
"['the', 'care', ':', 'an', 'ethical', 'act']","['le', 'soin', ',', 'un', 'acte', 'éthique']"
"['in', 'process', 'citation']","[""l'éthique"", 'ou', 'la', 'quête', 'du', 'préférable']"
"['in', 'process', 'citation']","['œuvrer', 'au', 'vieillissement', 'en', 'bonne', 'santé']"
"['neural', 'stem', 'cells', 'and', 'notch', 'signalling']","['cellules', 'souches', 'neurales', 'et', 'signalisation', 'notch']"
"['watson', ',', 'medicalized', 'artificial', 'intelligence']","['watson', ',', ""l'intelligence"", 'artificielle', 'médicalisée']"
"['less', 'is', 'more', '--', 'less', 'is', 'nothing']","['less', 'is', 'more', '--', 'less', 'is', 'nothing']"
"['henri', 'petit', '(', '1932-2014', ')']","['henri', 'petit', '(', '1932-2014', ')']"
"['in', 'process', 'citation']","['les', 'débuts', 'de', ""l'hôpital"", 'de', 'la', 'charité', '(', 'paris', ')']"
"['in', 'process', 'citation']","[""l'hôpital"", 'vu', 'par', 'les', 'écrivains']"
"['in', 'process', 'citation']","['vendôme', 'et', 'son', 'hôpital', 'pendant', 'la', 'guerre', 'de', '14-18']"
"['the', 'whiteness', 'of', 'the', 'gene', ',', 'the', 'scare', 'of', 'the', 'racist']","['la', 'blancheur', 'du', 'gène', ',', 'la', 'frayeur', 'du', 'raciste']"
"['work', ',', 'it', 'is', 'good', 'for', 'health', '...', 'or', 'not']","['le', 'travail', ',', ""c'est"", 'bon', 'pour', 'la', 'santé', '...', 'ou', 'pas']"
"['clinical', 'gait', 'analysis', ':', 'user', 'guide']","['analyse', 'quantifiée', 'de', 'la', 'marche', ':', 'mode', ""d'emploi""]"
"['benefits', 'of', 'gluten-free', 'diet', ':', 'myth', 'or', 'reality', '?']","['benfaits', 'du', 'régime', 'sans', 'gluten', ':', 'mythe', 'ou', 'réalité', '?']"
"['the', 'comeback', 'of', 'paternalism', '?']","['le', 'grand', 'retour', 'du', 'paternalisme', '?']"
['editorial'],['éditorial']
"['radiation', 'retinopathy']","['la', 'rétinopathie', ""d'irradiation""]"
"['transolecranon', 'fracture', 'dislocations']","['les', 'fracture-luxations', 'transolécraniennes']"
"['haglund', 'deformity', ':', 'report', 'of', 'three', 'cases']","['maladie', 'de', 'haglund', ':', 'à', 'propos', 'de', 'trois', 'cas']"
"['not', 'that', 'common', 'workplace', 'injury']","['accident', 'de', 'travail', 'pas', 'très', 'commun']"
"['mycotic', 'spondylodiscitis']","['spondylodiscite', 'mycosique']"
"['virchow', 'never', 'dies']","['virchow', 'ne', 'meurt', 'jamais']"
"['copd', ':', 'an', 'early', 'disease']","['la', 'bpco', ':', 'une', 'maladie', 'qui', 'commence', 'précocement']"
"['in', 'process', 'citation']",['éditorial']
"['short', 'sagittal', 'osteotomy']","['ostéotomie', 'sagittale', 'courte']"
"['in', 'process', 'citation']","['hommage', 'à', 'yves', 'barat']"
"['malaria-related', 'pancytopenia', 'in', 'children']","['pancytopénie', 'associée', 'au', 'paludisme', 'chez', ""l'enfant""]"
"['in', 'process', 'citation']","['la', 'thérapie', 'par', 'pression', 'négative']"
"['in', 'process', 'citation']","['solutés', 'de', 'perfusion', ':', ""l'osmolarité"", 'en', 'pratique']"
"['nursing', 'care', 'at', 'home', 'and', 'secularism']","['soins', 'infirmiers', 'à', 'domicile', 'et', 'laïcité']"
"['organising', 'an', 'instrumental', 'elective', 'abortion']","[""l'ivg"", 'instrumentale']"
